ticker,as_of
A,2026-02-01
AAL,2026-02-01
AAP,2026-02-01
AAPL,2026-02-01
ABBV,2026-02-01
COR,2026-02-01
ABNB,2026-02-01
ABT,2026-02-01
ACGL,2026-02-01
ACN,2026-02-01
ADBE,2026-02-01
ADI,2026-02-01
ADM,2026-02-01
ADP,2026-02-01
ADSK,2026-02-01
AEE,2026-02-01
AEP,2026-02-01
AES,2026-02-01
AFL,2026-02-01
AIG,2026-02-01
AIZ,2026-02-01
AJG,2026-02-01
AKAM,2026-02-01
ALB,2026-02-01
ALGN,2026-02-01
ALK,2026-02-01
ALL,2026-02-01
ALLE,2026-02-01
AMAT,2026-02-01
AMCR,2026-02-01
AMD,2026-02-01
AME,2026-02-01
AMGN,2026-02-01
AMP,2026-02-01
AMT,2026-02-01
AMZN,2026-02-01
AON,2026-02-01
AOS,2026-02-01
APA,2026-02-01
APD,2026-02-01
APH,2026-02-01
APTV,2026-02-01
ARE,2026-02-01
ATO,2026-02-01
AVB,2026-02-01
AVGO,2026-02-01
AVY,2026-02-01
AWK,2026-02-01
AXON,2026-02-01
AXP,2026-02-01
AZO,2026-02-01
BA,2026-02-01
BAC,2026-02-01
BALL,2026-02-01
BAX,2026-02-01
BBWI,2026-02-01
BBY,2026-02-01
BDX,2026-02-01
BEN,2026-02-01
BIIB,2026-02-01
BK,2026-02-01
BKNG,2026-02-01
BLK,2026-02-01
BMY,2026-02-01
BR,2026-02-01
BRK-B,2026-02-01
BRO,2026-02-01
BSX,2026-02-01
BWA,2026-02-01
BX,2026-02-01
BXP,2026-02-01
C,2026-02-01
CAG,2026-02-01
CAH,2026-02-01
CARR,2026-02-01
CAT,2026-02-01
CB,2026-02-01
CBOE,2026-02-01
CBRE,2026-02-01
CCI,2026-02-01
CCL,2026-02-01
CDNS,2026-02-01
CDW,2026-02-01
CE,2026-02-01
CF,2026-02-01
CFG,2026-02-01
CHD,2026-02-01
CHRW,2026-02-01
CHTR,2026-02-01
CI,2026-02-01
CINF,2026-02-01
CL,2026-02-01
CLX,2026-02-01
CMCSA,2026-02-01
CME,2026-02-01
CMG,2026-02-01
CMI,2026-02-01
CMS,2026-02-01
CNC,2026-02-01
CNP,2026-02-01
COF,2026-02-01
COO,2026-02-01
COP,2026-02-01
